dataset_key,source_column,model_column,role,data_type,transformation,valid_values_or_range,special_missing_codes,fit_scope,note
abalone,sex,sex_F/sex_I/sex_M,predictor,nominal,Fixed one-hot categories F/I/M; all indicators retained,"F,I,M",,predefined_deterministic,
abalone,length,length,predictor,continuous,numeric passthrough,observed nonnegative range,,predefined_deterministic,
abalone,diameter,diameter,predictor,continuous,numeric passthrough,observed nonnegative range,,predefined_deterministic,
abalone,height,height,predictor,continuous,numeric passthrough,observed nonnegative range,,predefined_deterministic,
abalone,whole_weight,whole_weight,predictor,continuous,numeric passthrough,observed nonnegative range,,predefined_deterministic,
abalone,shucked_weight,shucked_weight,predictor,continuous,numeric passthrough,observed nonnegative range,,predefined_deterministic,
abalone,viscera_weight,viscera_weight,predictor,continuous,numeric passthrough,observed nonnegative range,,predefined_deterministic,
abalone,shell_weight,shell_weight,predictor,continuous,numeric passthrough,observed nonnegative range,,predefined_deterministic,
abalone,Rings,Rings,target,continuous,numeric target,1-29,,predefined_deterministic,
california_housing,MedInc,MedInc,predictor,continuous,numeric passthrough,,,predefined_deterministic,
california_housing,HouseAge,HouseAge,predictor,continuous,numeric passthrough,,,predefined_deterministic,
california_housing,AveRooms,AveRooms,predictor,continuous,numeric passthrough,,,predefined_deterministic,
california_housing,AveBedrms,AveBedrms,predictor,continuous,numeric passthrough,,,predefined_deterministic,
california_housing,Population,Population,predictor,continuous,numeric passthrough,,,predefined_deterministic,
california_housing,AveOccup,AveOccup,predictor,continuous,numeric passthrough,,,predefined_deterministic,
california_housing,Latitude,Latitude,predictor,continuous,numeric passthrough,,,predefined_deterministic,
california_housing,Longitude,Longitude,predictor,continuous,numeric passthrough,,,predefined_deterministic,
california_housing,MedHouseVal,MedHouseVal,target,continuous,numeric target,,,predefined_deterministic,
concrete,Cement (component 1)(kg in a m^3 mixture),Cement (component 1)(kg in a m^3 mixture),predictor,continuous,numeric passthrough,,,predefined_deterministic,
concrete,Blast Furnace Slag (component 2)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),predictor,continuous,numeric passthrough,,,predefined_deterministic,
concrete,Fly Ash (component 3)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),predictor,continuous,numeric passthrough,,,predefined_deterministic,
concrete,Water  (component 4)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),predictor,continuous,numeric passthrough,,,predefined_deterministic,
concrete,Superplasticizer (component 5)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),predictor,continuous,numeric passthrough,,,predefined_deterministic,
concrete,Coarse Aggregate  (component 6)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),predictor,continuous,numeric passthrough,,,predefined_deterministic,
concrete,Fine Aggregate (component 7)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),predictor,continuous,numeric passthrough,,,predefined_deterministic,
concrete,Age (day),Age (day),predictor,continuous,numeric passthrough,,,predefined_deterministic,
concrete,"Concrete compressive strength(MPa, megapascals) ","Concrete compressive strength(MPa, megapascals) ",target,continuous,numeric target,,,predefined_deterministic,
wine_quality_red,fixed acidity,fixed acidity,predictor,continuous,numeric passthrough,,,predefined_deterministic,
wine_quality_red,volatile acidity,volatile acidity,predictor,continuous,numeric passthrough,,,predefined_deterministic,
wine_quality_red,citric acid,citric acid,predictor,continuous,numeric passthrough,,,predefined_deterministic,
wine_quality_red,residual sugar,residual sugar,predictor,continuous,numeric passthrough,,,predefined_deterministic,
wine_quality_red,chlorides,chlorides,predictor,continuous,numeric passthrough,,,predefined_deterministic,
wine_quality_red,free sulfur dioxide,free sulfur dioxide,predictor,continuous,numeric passthrough,,,predefined_deterministic,
