dataset_key,metric,same_full_ranking
abalone,rmse,True
abalone,mae,True
abalone,r2,True
abalone,wmse,True
abalone,sera,True
abalone,oiha,True
abalone,rare_ratio,True
abalone,rare_rmse,True
abalone,rare_mae,True
abalone,normal_rmse,True
abalone,normal_mae,True
air_quality_no2,rmse,True
air_quality_no2,mae,True
air_quality_no2,r2,True
air_quality_no2,wmse,True
air_quality_no2,sera,True
air_quality_no2,oiha,True
air_quality_no2,rare_ratio,True
air_quality_no2,rare_rmse,True
air_quality_no2,rare_mae,True
air_quality_no2,normal_rmse,True
air_quality_no2,normal_mae,True
california_housing,rmse,True
california_housing,mae,True
california_housing,r2,True
california_housing,wmse,True
california_housing,sera,True
california_housing,oiha,True
california_housing,rare_ratio,True
california_housing,rare_rmse,True
california_housing,rare_mae,True
california_housing,normal_rmse,True
california_housing,normal_mae,True
concrete,rmse,True
concrete,mae,True
concrete,r2,True
concrete,wmse,True
concrete,sera,True
concrete,oiha,True
concrete,rare_ratio,True
concrete,rare_rmse,True
concrete,rare_mae,True
concrete,normal_rmse,True
concrete,normal_mae,True
servo,rmse,True
servo,mae,True
servo,r2,True
servo,wmse,True
servo,sera,True
servo,oiha,True
servo,rare_ratio,True
servo,rare_rmse,True
servo,rare_mae,True
servo,normal_rmse,True
servo,normal_mae,True
tgss_bmi,rmse,True
tgss_bmi,mae,True
tgss_bmi,r2,True
tgss_bmi,wmse,True
tgss_bmi,sera,True
tgss_bmi,oiha,True
tgss_bmi,rare_ratio,True
tgss_bmi,rare_rmse,True
tgss_bmi,rare_mae,True
tgss_bmi,normal_rmse,True
tgss_bmi,normal_mae,True
tgss_income,rmse,True
tgss_income,mae,True
tgss_income,r2,True
tgss_income,wmse,True
tgss_income,sera,True
tgss_income,oiha,True
tgss_income,rare_ratio,True
tgss_income,rare_rmse,True
tgss_income,rare_mae,True
tgss_income,normal_rmse,True
tgss_income,normal_mae,True
wine_quality_red,rmse,True
wine_quality_red,mae,True
wine_quality_red,r2,True
wine_quality_red,wmse,True
wine_quality_red,sera,True
wine_quality_red,oiha,True
wine_quality_red,rare_ratio,True
wine_quality_red,rare_rmse,True
wine_quality_red,rare_mae,True
wine_quality_red,normal_rmse,True
wine_quality_red,normal_mae,True
