dataset_key,model_key,train_n,test_n,model_feature_count,fit_index_hash,test_index_hash,relevance_train_hash,resampling_method,synthetic_n,resampled_train_n,final_rare_ratio_train,invalid_nominal_total,invalid_binary_total,invalid_onehot_group_total,ordinal_noninteger_total,out_of_bounds_total,sample_weight_min,sample_weight_mean,sample_weight_max,n,rmse,mae,r2,wmse,sera,oiha,rare_count,normal_count,rare_ratio,rare_rmse,rare_mae,normal_rmse,normal_mae,protocol,scenario,dataset_name,repeat,fold,split_seed,model_seed,rf_n_estimators,train_index_sha256,test_index_sha256,actual_group_overlap_n,overlap_test_rows_n,test_group_n,elapsed_seconds,task_id
abalone,ekk,3341,836,10,3b2b1a1ab46df5f5d1b04ca9d81d3617bfaff751ac48a3823fa41927fd6d5dfa,70f8009f6cf93fd55bd7602a764c876433c5df99840b6669403a8c5be87ce44a,3547926a94f1f721647e56721f955e8a549c08d22d2343efc12eb854a085aee9,none,0,3341,0.27297216402274765,0,0,0,0,0,,,,836,2.291484995950162,1.5745644070684415,0.5073223051078976,8.697321315492163,3.1123273456725653,4.015144499247066,229,607,0.27392344497607657,3.2242244908523956,2.3430190712292593,1.819334888477673,1.284653174625563,main_grouped_repeated5fold,main,Abalone,1,1,42,50110101,100,79079eb9238ab2f01424982d0989aa4c5a6cf691ef285e00bc036e75741f3a1d,58a03d1b681a09218d8191859e08d819082946a4f2372f4052b109f3fb15cd21,0,0,836,0.039831,main_grouped_repeated5fold|main|abalone|r1|f1|ekk
abalone,rf,3341,836,10,3b2b1a1ab46df5f5d1b04ca9d81d3617bfaff751ac48a3823fa41927fd6d5dfa,70f8009f6cf93fd55bd7602a764c876433c5df99840b6669403a8c5be87ce44a,3547926a94f1f721647e56721f955e8a549c08d22d2343efc12eb854a085aee9,none,0,3341,0.27297216402274765,0,0,0,0,0,,,,836,2.188974099515531,1.532279324234872,0.5504167621239707,8.673189580806616,3.10234836074143,3.6136111695759436,229,607,0.27392344497607657,3.272635865429659,2.309871361782008,1.5996090128322056,1.2389208784386707,main_grouped_repeated5fold,main,Abalone,1,1,42,50110102,100,79079eb9238ab2f01424982d0989aa4c5a6cf691ef285e00bc036e75741f3a1d,58a03d1b681a09218d8191859e08d819082946a4f2372f4052b109f3fb15cd21,0,0,836,0.250246,main_grouped_repeated5fold|main|abalone|r1|f1|rf
abalone,smote_r_rf,3341,836,10,3b2b1a1ab46df5f5d1b04ca9d81d3617bfaff751ac48a3823fa41927fd6d5dfa,70f8009f6cf93fd55bd7602a764c876433c5df99840b6669403a8c5be87ce44a,3547926a94f1f721647e56721f955e8a549c08d22d2343efc12eb854a085aee9,smote_r,1517,4858,0.5,0,0,0,0,0,,,,836,2.2509268712387844,1.5962314297796154,0.5246082546518678,8.290483984235221,2.9663448904249456,3.803559925164068,229,607,0.27392344497607657,3.1429648302573345,2.161143420884703,1.8031746730143685,1.3831097725093267,main_grouped_repeated5fold,main,Abalone,1,1,42,50110103,100,79079eb9238ab2f01424982d0989aa4c5a6cf691ef285e00bc036e75741f3a1d,58a03d1b681a09218d8191859e08d819082946a4f2372f4052b109f3fb15cd21,0,0,836,0.640974,main_grouped_repeated5fold|main|abalone|r1|f1|smote_r_rf
abalone,smogn_rf,3341,836,10,3b2b1a1ab46df5f5d1b04ca9d81d3617bfaff751ac48a3823fa41927fd6d5dfa,70f8009f6cf93fd55bd7602a764c876433c5df99840b6669403a8c5be87ce44a,3547926a94f1f721647e56721f955e8a549c08d22d2343efc12eb854a085aee9,smogn,1517,4858,0.5,0,0,0,0,0,,,,836,2.23607254207077,1.5917633702645935,0.5308619672890855,8.18773244277008,2.9298886642502344,3.717625143404133,229,607,0.27392344497607657,3.1184637273801163,2.1631510789747312,1.7937444830869216,1.3761986498451182,main_grouped_repeated5fold,main,Abalone,1,1,42,50110104,100,79079eb9238ab2f01424982d0989aa4c5a6cf691ef285e00bc036e75741f3a1d,58a03d1b681a09218d8191859e08d819082946a4f2372f4052b109f3fb15cd21,0,0,836,0.624747,main_grouped_repeated5fold|main|abalone|r1|f1|smogn_rf
abalone,relevance_weighted_rf,3341,836,10,3b2b1a1ab46df5f5d1b04ca9d81d3617bfaff751ac48a3823fa41927fd6d5dfa,70f8009f6cf93fd55bd7602a764c876433c5df99840b6669403a8c5be87ce44a,3547926a94f1f721647e56721f955e8a549c08d22d2343efc12eb854a085aee9,none,0,3341,0.27297216402274765,0,0,0,0,0,0.13726861422377323,1.0,2.7453722844754647,836,2.1959642480348385,1.5229803366599222,0.5475408291532448,8.781079472132728,3.140835165163941,3.6664187718399694,229,607,0.27392344497607657,3.3036837046671144,2.3255901603934714,1.5886893500107735,1.2201835497818618,main_grouped_repeated5fold,main,Abalone,1,1,42,50110105,100,79079eb9238ab2f01424982d0989aa4c5a6cf691ef285e00bc036e75741f3a1d,58a03d1b681a09218d8191859e08d819082946a4f2372f4052b109f3fb15cd21,0,0,836,0.213946,main_grouped_repeated5fold|main|abalone|r1|f1|relevance_weighted_rf
abalone,ekk,3341,836,10,f5c8e87956cf0a924578c909552f054918c9d26c8ed13bab0b8134a9a5b9dd7e,e053b655aea9ed4cd167e8423d676b3273b1036b77788d835cbe903af2cb7ebd,1c91fb1211a0cd0cb9b54fa1ef50b70dfd556bc78a7209e02d3ad7d6d837c9c2,none,0,3341,0.2741694103561808,0,0,0,0,0,,,,836,2.253859600845767,1.6448218073858267,0.49990471138999426,9.364802085873288,3.337580531540638,3.7913898401614077,225,611,0.26913875598086123,3.4863055195956294,2.750950416460986,1.573126861245069,1.2374913048622413,main_grouped_repeated5fold,main,Abalone,1,2,42,50110201,100,b61d11a742961cfdf97a8eea6f3c256e1db7c76e24850ee49adb62172cd2707a,7fd889c3e417eadec95f1ed03d1a4aa2a6da39c7c6282dd0a4376eead1895248,0,0,836,0.030701,main_grouped_repeated5fold|main|abalone|r1|f2|ekk
abalone,rf,3341,836,10,f5c8e87956cf0a924578c909552f054918c9d26c8ed13bab0b8134a9a5b9dd7e,e053b655aea9ed4cd167e8423d676b3273b1036b77788d835cbe903af2cb7ebd,1c91fb1211a0cd0cb9b54fa1ef50b70dfd556bc78a7209e02d3ad7d6d837c9c2,none,0,3341,0.2741694103561808,0,0,0,0,0,,,,836,2.1766755716127832,1.5734095018704946,0.5335700261767239,8.484238870134288,3.025030073800359,3.5268576643224,225,611,0.26913875598086123,3.283473496979946,2.4924717375635908,1.585082171491596,1.2349659617216462,main_grouped_repeated5fold,main,Abalone,1,2,42,50110202,100,b61d11a742961cfdf97a8eea6f3c256e1db7c76e24850ee49adb62172cd2707a,7fd889c3e417eadec95f1ed03d1a4aa2a6da39c7c6282dd0a4376eead1895248,0,0,836,0.22521,main_grouped_repeated5fold|main|abalone|r1|f2|rf
abalone,smote_r_rf,3341,836,10,f5c8e87956cf0a924578c909552f054918c9d26c8ed13bab0b8134a9a5b9dd7e,e053b655aea9ed4cd167e8423d676b3273b1036b77788d835cbe903af2cb7ebd,1c91fb1211a0cd0cb9b54fa1ef50b70dfd556bc78a7209e02d3ad7d6d837c9c2,smote_r,1509,4850,0.5,0,0,0,0,0,,,,836,2.2218158103539016,1.6276533064722154,0.5140236324834153,7.866941338525071,2.8062371784098974,3.6366319365266784,225,611,0.26913875598086123,3.1151844085100002,2.328574055658813,1.7834486474232678,1.3695401009616024,main_grouped_repeated5fold,main,Abalone,1,2,42,50110203,100,b61d11a742961cfdf97a8eea6f3c256e1db7c76e24850ee49adb62172cd2707a,7fd889c3e417eadec95f1ed03d1a4aa2a6da39c7c6282dd0a4376eead1895248,0,0,836,0.632459,main_grouped_repeated5fold|main|abalone|r1|f2|smote_r_rf
abalone,smogn_rf,3341,836,10,f5c8e87956cf0a924578c909552f054918c9d26c8ed13bab0b8134a9a5b9dd7e,e053b655aea9ed4cd167e8423d676b3273b1036b77788d835cbe903af2cb7ebd,1c91fb1211a0cd0cb9b54fa1ef50b70dfd556bc78a7209e02d3ad7d6d837c9c2,smogn,1509,4850,0.5,0,0,0,0,0,,,,836,2.2159930055962436,1.6229975530828036,0.5165675314655598,7.904991039655416,2.819953233126783,3.596772386288293,225,611,0.26913875598086123,3.1279272374255966,2.334911490997734,1.7652299730650964,1.3608361193170764,main_grouped_repeated5fold,main,Abalone,1,2,42,50110204,100,b61d11a742961cfdf97a8eea6f3c256e1db7c76e24850ee49adb62172cd2707a,7fd889c3e417eadec95f1ed03d1a4aa2a6da39c7c6282dd0a4376eead1895248,0,0,836,0.638669,main_grouped_repeated5fold|main|abalone|r1|f2|smogn_rf
abalone,relevance_weighted_rf,3341,836,10,f5c8e87956cf0a924578c909552f054918c9d26c8ed13bab0b8134a9a5b9dd7e,e053b655aea9ed4cd167e8423d676b3273b1036b77788d835cbe903af2cb7ebd,1c91fb1211a0cd0cb9b54fa1ef50b70dfd556bc78a7209e02d3ad7d6d837c9c2,none,0,3341,0.2741694103561808,0,0,0,0,0,0.13721393360605924,1.0000000000000002,2.744278672121185,836,2.166497930057086,1.5602955880724783,0.537921670336249,8.57822998431444,3.0583184887257295,3.4843850090977435,225,611,0.26913875598086123,3.3175386741554194,2.5266208847439984,1.5392200293836569,1.2044474837335388,main_grouped_repeated5fold,main,Abalone,1,2,42,50110205,100,b61d11a742961cfdf97a8eea6f3c256e1db7c76e24850ee49adb62172cd2707a,7fd889c3e417eadec95f1ed03d1a4aa2a6da39c7c6282dd0a4376eead1895248,0,0,836,0.229448,main_grouped_repeated5fold|main|abalone|r1|f2|relevance_weighted_rf
