metric,best_model,win_count
oiha_mean,ekk,1
oiha_mean,relevance_weighted_rf,2
oiha_mean,smogn_rf,3
oiha_mean,smote_r_rf,2
mae_mean,ekk,1
mae_mean,relevance_weighted_rf,3
mae_mean,rf,3
mae_mean,smogn_rf,1
normal_rmse_mean,ekk,1
normal_rmse_mean,relevance_weighted_rf,1
normal_rmse_mean,rf,6
r2_mean,ekk,1
r2_mean,relevance_weighted_rf,2
r2_mean,rf,3
r2_mean,smote_r_rf,2
rare_rmse_mean,smogn_rf,3
rare_rmse_mean,smote_r_rf,5
rmse_mean,ekk,1
rmse_mean,relevance_weighted_rf,2
rmse_mean,rf,3
rmse_mean,smote_r_rf,2
sera_mean,smogn_rf,3
sera_mean,smote_r_rf,5
wmse_mean,smogn_rf,3
wmse_mean,smote_r_rf,5
