dataset_key,metric,winner_5fold_2repeat,winner_10fold,tenfold_winner_margin,margin_type
abalone,mae,relevance_weighted_rf,rf,0.0913175468671168,relative_percent
california_housing,oiha,smogn_rf,rf,0.9157309690730406,relative_percent
concrete,rmse,smote_r_rf,smogn_rf,1.9040762294076659,relative_percent
concrete,r2,smote_r_rf,smogn_rf,0.003048280931218339,absolute_r2
concrete,wmse,smote_r_rf,smogn_rf,4.570045889747694,relative_percent
concrete,sera,smote_r_rf,smogn_rf,4.488733007761386,relative_percent
concrete,oiha,smote_r_rf,smogn_rf,4.633172882720932,relative_percent
concrete,normal_rmse,rf,smogn_rf,1.075527218451144,relative_percent
wine_quality_red,oiha,smogn_rf,rf,0.34843151051108184,relative_percent
wine_quality_red,normal_rmse,rf,relevance_weighted_rf,0.33558056018522453,relative_percent
air_quality_no2,rmse,rf,relevance_weighted_rf,0.14795341761940575,relative_percent
air_quality_no2,r2,rf,relevance_weighted_rf,0.0015101681568721048,absolute_r2
air_quality_no2,wmse,smote_r_rf,smogn_rf,0.09235525630958363,relative_percent
air_quality_no2,sera,smote_r_rf,smogn_rf,0.07038881823273471,relative_percent
air_quality_no2,oiha,smogn_rf,relevance_weighted_rf,0.07807371448152375,relative_percent
air_quality_no2,normal_rmse,rf,relevance_weighted_rf,0.4928186335513936,relative_percent
servo,mae,relevance_weighted_rf,smote_r_rf,2.282145858697743,relative_percent
tgss_bmi,wmse,smogn_rf,smote_r_rf,0.13621422692821197,relative_percent
tgss_bmi,sera,smogn_rf,smote_r_rf,0.160527404944971,relative_percent
tgss_bmi,rare_rmse,smogn_rf,smote_r_rf,0.06996659644197643,relative_percent
tgss_income,rmse,relevance_weighted_rf,rf,0.08817144957906396,relative_percent
tgss_income,r2,relevance_weighted_rf,rf,0.0002920827205388776,absolute_r2
tgss_income,rare_rmse,smote_r_rf,smogn_rf,1.5618744531177893,relative_percent
