dataset_key,metric,winner_5fold_2repeat,winner_10fold,winner_same,winner_value_5fold_2repeat,winner_value_10fold
abalone,rmse,relevance_weighted_rf,relevance_weighted_rf,True,2.1499772009354268,2.1455661100886245
abalone,mae,relevance_weighted_rf,rf,False,1.5188669490397624,1.5207259902846397
abalone,r2,relevance_weighted_rf,relevance_weighted_rf,True,0.5546121223639391,0.5559875144485446
abalone,wmse,smote_r_rf,smote_r_rf,True,7.794232434553287,7.694764278906431
abalone,sera,smote_r_rf,smote_r_rf,True,2.7816091359946205,2.744697969448804
abalone,oiha,relevance_weighted_rf,relevance_weighted_rf,True,3.4776969773327138,3.446797991619448
abalone,rare_rmse,smote_r_rf,smote_r_rf,True,3.0472600139695363,3.0235620136872363
abalone,normal_rmse,relevance_weighted_rf,relevance_weighted_rf,True,1.540174534225632,1.546592976515355
california_housing,rmse,rf,rf,True,0.49085115970686266,0.4863639354457948
california_housing,mae,rf,rf,True,0.32861293294044935,0.3251296863085225
california_housing,r2,rf,rf,True,0.8189359997937602,0.8221618539670515
california_housing,wmse,smogn_rf,smogn_rf,True,0.3881349566882982,0.3847949748682235
california_housing,sera,smogn_rf,smogn_rf,True,0.11571402441008698,0.11464035425130963
california_housing,oiha,smogn_rf,rf,False,0.14467522422116091,0.14226766655908324
california_housing,rare_rmse,smogn_rf,smogn_rf,True,0.7749877168503987,0.7717277189313113
california_housing,normal_rmse,rf,rf,True,0.3752751349454645,0.3715269641259001
concrete,rmse,smote_r_rf,smogn_rf,False,4.964489846704539,4.644531833435746
concrete,mae,smogn_rf,smogn_rf,True,3.625536363481865,3.438546620145894
concrete,r2,smote_r_rf,smogn_rf,False,0.9108240105468338,0.9205920202739432
concrete,wmse,smote_r_rf,smogn_rf,False,34.91744145246702,30.709142719702193
concrete,sera,smote_r_rf,smogn_rf,False,10.502418752145283,9.240965828878199
concrete,oiha,smote_r_rf,smogn_rf,False,11.076159320775284,9.752634694750205
concrete,rare_rmse,smogn_rf,smogn_rf,True,6.450437784889876,6.102044822863377
concrete,normal_rmse,rf,smogn_rf,False,4.367703048780884,4.206552892275807
wine_quality_red,rmse,rf,rf,True,0.6317195249191254,0.6284990241302782
wine_quality_red,mae,rf,rf,True,0.48693584171380017,0.4889698023102206
wine_quality_red,r2,rf,rf,True,0.38639405904427904,0.39233666033760844
wine_quality_red,wmse,smote_r_rf,smote_r_rf,True,0.6275645620073689,0.6107691159207312
wine_quality_red,sera,smote_r_rf,smote_r_rf,True,0.18798480851464375,0.1832030197276881
wine_quality_red,oiha,smogn_rf,rf,False,0.23287770422690776,0.23143765509080003
wine_quality_red,rare_rmse,smote_r_rf,smote_r_rf,True,1.0074745887523364,0.9894071162011011
wine_quality_red,normal_rmse,rf,relevance_weighted_rf,False,0.4760876870448203,0.4753809544173805
air_quality_no2,rmse,rf,relevance_weighted_rf,False,20.519469682394796,19.716538430562416
air_quality_no2,mae,rf,rf,True,14.027200537122507,13.759108851438421
air_quality_no2,r2,rf,relevance_weighted_rf,False,0.8101991796620173,0.8199253087878032
air_quality_no2,wmse,smote_r_rf,smogn_rf,False,812.7540951642575,751.295051528956
air_quality_no2,sera,smote_r_rf,smogn_rf,False,246.0375181115584,227.02216513163427
air_quality_no2,oiha,smogn_rf,relevance_weighted_rf,False,278.9487277092975,258.9990914392698
air_quality_no2,rare_rmse,smote_r_rf,smote_r_rf,True,30.60528026001246,28.592197154140177
air_quality_no2,normal_rmse,rf,relevance_weighted_rf,False,16.05791416054131,15.783088668162776
servo,rmse,smote_r_rf,smote_r_rf,True,0.6355539893105824,0.5910247554319582
servo,mae,relevance_weighted_rf,smote_r_rf,False,0.42385503494305415,0.4002994461015536
servo,r2,smote_r_rf,smote_r_rf,True,0.8276056724389997,0.8385989673391512
servo,wmse,smote_r_rf,smote_r_rf,True,0.7696476513374982,0.6397468444837885
servo,sera,smote_r_rf,smote_r_rf,True,0.2736820808553904,0.22518538817067565
servo,oiha,smote_r_rf,smote_r_rf,True,0.35564651356119636,0.2959815718004391
servo,rare_rmse,smote_r_rf,smote_r_rf,True,1.0296791770684472,0.9378221498088694
servo,normal_rmse,rf,rf,True,0.3905287022232432,0.3654930019861828
tgss_bmi,rmse,ekk,ekk,True,4.750961928304378,4.724384852478043
tgss_bmi,mae,ekk,ekk,True,3.654130612656291,3.6349831123064056
tgss_bmi,r2,ekk,ekk,True,0.09878163563043313,0.10743854778350488
tgss_bmi,wmse,smogn_rf,smote_r_rf,False,43.93634226717162,43.78058524209873
tgss_bmi,sera,smogn_rf,smote_r_rf,False,13.350272528361137,13.34814130455769
tgss_bmi,oiha,ekk,ekk,True,14.050318696766187,13.931839050584662
tgss_bmi,rare_rmse,smogn_rf,smote_r_rf,False,8.160868740493772,8.08631500614899
tgss_bmi,normal_rmse,ekk,ekk,True,3.289541152118013,3.273789435574873
tgss_income,rmse,relevance_weighted_rf,rf,False,18443.13585503133,18472.77922460986
tgss_income,mae,relevance_weighted_rf,relevance_weighted_rf,True,10562.091399099843,10604.406897388893
tgss_income,r2,relevance_weighted_rf,rf,False,0.3647281143727411,0.35814000151805003
tgss_income,wmse,smogn_rf,smogn_rf,True,903804381.4551455,900565823.4416918
tgss_income,sera,smogn_rf,smogn_rf,True,243370482.79531765,242182282.33491617
tgss_income,oiha,relevance_weighted_rf,relevance_weighted_rf,True,277750778.01490706,279881434.07182956
tgss_income,rare_rmse,smote_r_rf,smogn_rf,False,42524.57974002916,42035.01674793396
tgss_income,normal_rmse,rf,rf,True,10720.93577945031,10716.406289072576
