Veri Seti,Model,RMSE,MAE,R²
Abalone,EKK,"2,215","1,584","0,527"
Abalone,RF,"2,155","1,527","0,552"
Abalone,SMOTE-R + RF,"2,206","1,595","0,531"
Abalone,SMOGN + RF,"2,189","1,578","0,538"
Abalone,İlgililik Ağırlıklı RF,"2,150","1,519","0,555"
Air Quality NO2,EKK,"25,552","18,644","0,716"
Air Quality NO2,RF,"20,519","14,027","0,810"
Air Quality NO2,SMOTE-R + RF,"20,694","14,126","0,806"
Air Quality NO2,SMOGN + RF,"20,624","14,084","0,808"
Air Quality NO2,İlgililik Ağırlıklı RF,"20,755","14,157","0,805"
California Housing,EKK,"0,727","0,532","0,603"
California Housing,RF,"0,491","0,329","0,819"
California Housing,SMOTE-R + RF,"0,516","0,357","0,800"
California Housing,SMOGN + RF,"0,514","0,356","0,802"
California Housing,İlgililik Ağırlıklı RF,"0,501","0,337","0,811"
Concrete Compressive Strength,EKK,"10,447","8,295","0,607"
Concrete Compressive Strength,RF,"5,166","3,737","0,903"
Concrete Compressive Strength,SMOTE-R + RF,"4,964","3,634","0,911"
Concrete Compressive Strength,SMOGN + RF,"4,973","3,626","0,910"
Concrete Compressive Strength,İlgililik Ağırlıklı RF,"5,195","3,801","0,902"
Servo,EKK,"1,109","0,915","0,485"
Servo,RF,"0,645","0,424","0,823"
Servo,SMOTE-R + RF,"0,636","0,426","0,828"
Servo,SMOGN + RF,"0,714","0,461","0,784"
Servo,İlgililik Ağırlıklı RF,"0,647","0,424","0,824"
Wine Quality Red,EKK,"0,652","0,505","0,346"
Wine Quality Red,RF,"0,632","0,487","0,386"
Wine Quality Red,SMOTE-R + RF,"0,643","0,495","0,363"
Wine Quality Red,SMOGN + RF,"0,638","0,492","0,373"
Wine Quality Red,İlgililik Ağırlıklı RF,"0,634","0,496","0,382"
