Veri Seti,Model,WMSE,SERA,OİHA,Nadir Oranı,Nadir RMSE,Normal RMSE,Sentetik Gözlem
Abalone,EKK,"8,781","3,131","3,684","0,273","3,309","1,621",0
Abalone,RF,"8,426","3,006","3,486","0,273","3,240","1,562",0
Abalone,SMOTE-R + RF,"7,794","2,782","3,593","0,273","3,047","1,788",15160
Abalone,SMOGN + RF,"7,820","2,791","3,531","0,273","3,065","1,748",15160
Abalone,İlgililik Ağırlıklı RF,"8,467","3,020","3,478","0,273","3,255","1,540",0
Air Quality NO2,EKK,"1.173,233","351,228","387,807","0,175","40,670","20,551",0
Air Quality NO2,RF,"849,699","256,620","278,978","0,175","33,185","16,058",0
Air Quality NO2,SMOTE-R + RF,"812,754","246,038","280,259","0,175","30,605","17,156",40108
Air Quality NO2,SMOGN + RF,"813,769","246,242","278,949","0,175","30,978","16,950",40108
Air Quality NO2,İlgililik Ağırlıklı RF,"881,989","266,518","288,329","0,175","33,760","16,142",0
California Housing,EKK,"1,021","0,304","0,336","0,154","1,357","0,539",0
California Housing,RF,"0,444","0,132","0,145","0,154","0,890","0,375",0
California Housing,SMOTE-R + RF,"0,392","0,117","0,146","0,154","0,779","0,452",114420
California Housing,SMOGN + RF,"0,388","0,116","0,145","0,154","0,775","0,450",114420
California Housing,İlgililik Ağırlıklı RF,"0,459","0,137","0,150","0,154","0,905","0,384",0
Concrete Compressive Strength,EKK,"139,552","41,987","53,552","0,179","13,178","9,737",0
Concrete Compressive Strength,RF,"43,047","12,932","13,310","0,179","7,699","4,368",0
Concrete Compressive Strength,SMOTE-R + RF,"34,917","10,502","11,076","0,179","6,457","4,529",5306
Concrete Compressive Strength,SMOGN + RF,"35,302","10,606","11,188","0,179","6,450","4,541",5306
Concrete Compressive Strength,İlgililik Ağırlıklı RF,"42,587","12,796","13,160","0,179","7,540","4,474",0
Servo,EKK,"1,989","0,702","1,108","0,209","1,637","0,902",0
Servo,RF,"0,909","0,322","0,374","0,209","1,162","0,391",0
Servo,SMOTE-R + RF,"0,770","0,274","0,356","0,209","1,030","0,444",788
Servo,SMOGN + RF,"1,021","0,361","0,458","0,209","1,215","0,478",788
Servo,İlgililik Ağırlıklı RF,"0,901","0,319","0,376","0,209","1,165","0,392",0
Wine Quality Red,EKK,"0,732","0,219","0,252","0,175","1,112","0,502",0
Wine Quality Red,RF,"0,696","0,208","0,235","0,175","1,098","0,476",0
Wine Quality Red,SMOTE-R + RF,"0,628","0,188","0,235","0,175","1,007","0,534",8312
Wine Quality Red,SMOGN + RF,"0,638","0,191","0,233","0,175","1,023","0,520",8312
Wine Quality Red,İlgililik Ağırlıklı RF,"0,700","0,210","0,236","0,175","1,098","0,480",0
